City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chokurdakh,95,RU,1575306795,97,70.62,147.9,-27.71,2.42
1,tohana,0,IN,1575306796,43,29.71,75.9,59.34,2.48
2,esperance,90,AU,1575306796,87,-33.86,121.89,55.4,6.93
3,cape town,20,ZA,1575306796,63,-33.93,18.42,68.0,13.87
4,grindavik,90,IS,1575306796,100,63.84,-22.43,48.2,31.09
5,albany,90,US,1575306796,91,42.65,-73.75,34.0,11.41
6,atuona,37,PF,1575306796,66,-9.8,-139.03,79.83,10.78
7,vaini,92,IN,1575306796,93,15.34,74.49,65.84,10.63
8,pevek,100,RU,1575306797,93,69.7,170.27,15.71,19.44
9,amur,80,RU,1575306797,88,54.1,61.58,21.58,9.46
10,guerrero negro,49,MX,1575306797,42,27.97,-114.04,67.08,1.25
11,saint george,20,GR,1575306504,81,39.45,22.34,46.4,3.36
12,mar del plata,16,AR,1575306797,24,-46.43,-67.52,74.3,24.09
13,opuwo,96,NA,1575306797,22,-18.06,13.84,78.22,3.38
14,egvekinot,70,RU,1575306569,94,66.32,-179.17,1.42,9.24
15,tambacounda,0,SN,1575306798,11,13.77,-13.67,100.4,11.41
16,ismailia,50,EG,1575306798,60,30.6,32.27,62.33,7.29
17,punta arenas,40,CL,1575306798,48,-53.16,-70.91,62.6,18.34
18,bethel,90,US,1575306622,84,60.79,-161.76,8.6,3.62
19,college,90,US,1575306798,92,64.86,-147.8,15.01,2.15
20,nikolskoye,20,RU,1575306798,86,59.7,30.79,30.0,8.95
21,rawson,79,AR,1575306798,64,-43.3,-65.11,61.03,11.48
22,kajaani,75,FI,1575306799,92,64.22,27.73,26.6,13.87
23,cidreira,0,BR,1575306799,66,-30.17,-50.22,66.67,20.2
24,busselton,0,AU,1575306799,46,-33.64,115.35,68.0,13.65
25,shache,58,CN,1575306799,56,38.42,77.24,25.84,5.03
26,sorland,40,NO,1575306799,69,67.67,12.69,35.6,14.99
27,capela do alto,10,BR,1575306799,60,-23.47,-47.74,81.0,14.92
28,quatre cocos,20,MU,1575306800,65,-20.21,57.76,78.01,8.05
29,yamada,75,JP,1575306800,57,36.58,137.08,50.0,21.92
30,caravelas,100,BR,1575306800,77,-17.73,-39.27,83.64,9.75
31,pitea,83,SE,1575306800,68,65.32,21.48,32.0,17.22
32,santa maria,75,BR,1575306525,58,-16.02,-48.01,82.99,9.17
33,avera,1,US,1575306800,34,33.19,-82.53,53.6,11.41
34,dikson,89,RU,1575306801,88,73.51,80.55,-4.41,15.41
35,juegang,0,CN,1575306801,62,32.31,121.18,39.99,7.94
36,jamestown,28,AU,1575306732,97,-33.21,138.6,46.8,10.85
37,constitucion,20,MX,1575306801,29,23.99,-104.67,64.99,0.36
38,cabedelo,75,BR,1575306801,55,-6.97,-34.84,89.6,9.17
39,bluff,25,AU,1575306801,36,-23.58,149.07,72.07,7.47
40,elizabeth city,75,US,1575306801,81,36.3,-76.22,51.01,9.17
41,ushuaia,75,AR,1575306801,76,-54.81,-68.31,59.0,4.7
42,provideniya,1,RU,1575306801,91,64.42,-173.23,13.89,6.11
43,half moon bay,90,US,1575306802,82,37.46,-122.43,57.2,10.29
44,mataura,100,NZ,1575306802,89,-46.19,168.86,55.99,1.01
45,port pirie,40,AU,1575306802,71,-33.18,138.01,55.4,6.93
46,kapaa,20,US,1575306802,83,22.08,-159.32,77.0,18.34
47,rikitea,64,PF,1575306802,83,-23.12,-134.97,76.24,14.85
48,sao filipe,75,CV,1575306652,78,14.9,-24.5,73.76,14.18
49,nago,75,IT,1575306803,93,45.88,10.89,46.4,4.7
50,yellowknife,90,CA,1575306796,84,62.45,-114.38,8.6,10.29
51,portland,90,US,1575306600,83,43.66,-70.25,32.0,19.46
52,kamaishi,63,JP,1575306803,76,39.28,141.86,43.52,5.01
53,bereda,75,ES,1575306803,71,43.27,-7.54,52.0,4.7
54,san quintin,100,PH,1575306804,74,17.54,120.52,73.29,15.64
55,waipawa,100,NZ,1575306804,59,-39.94,176.59,66.99,5.99
56,necochea,28,AR,1575306804,31,-38.55,-58.74,88.0,8.01
57,butaritari,60,KI,1575306805,75,3.07,172.79,84.25,11.16
58,arraial do cabo,75,BR,1575306805,74,-22.97,-42.02,80.6,12.75
59,filadelfia,25,PY,1575306805,36,-22.35,-60.04,93.54,6.91
60,cruzilia,40,BR,1575306805,69,-21.84,-44.81,75.96,11.92
61,cabo san lucas,40,MX,1575306799,78,22.89,-109.91,78.01,2.24
62,hilo,40,US,1575306806,100,19.71,-155.08,66.99,9.17
63,georgetown,75,GY,1575306779,94,6.8,-58.16,87.8,4.7
64,ahipara,100,NZ,1575306806,100,-35.17,173.16,64.99,20.15
65,ardabil,100,IR,1575306806,91,38.25,48.3,31.73,6.62
66,east london,21,ZA,1575306807,88,-33.02,27.91,73.4,9.17
67,mangochi,35,MW,1575306808,79,-14.48,35.26,71.87,3.83
68,staropavlovskaya,90,RU,1575306808,86,43.85,43.63,33.8,6.71
69,northam,0,AU,1575306808,47,-31.65,116.67,75.2,7.29
70,doka,7,SD,1575306809,23,13.52,35.76,80.49,8.55
71,dubai,0,AE,1575306809,53,25.27,55.3,77.0,4.7
72,tucuman,99,PE,1575306809,19,-17.17,-70.89,73.65,15.86
73,alofi,75,NU,1575306809,94,-19.06,-169.92,68.0,1.12
74,gorgan,90,IR,1575306809,87,36.84,54.43,57.2,4.7
75,souillac,27,FR,1575306810,70,45.6,-0.6,41.0,13.87
76,kennett,90,US,1575306810,64,36.24,-90.06,39.2,13.87
77,erdenet,100,MN,1575306810,76,49.03,104.04,7.39,3.36
78,havre-saint-pierre,1,CA,1575306811,67,50.23,-63.6,21.2,9.17
79,castro,75,CL,1575306811,58,-42.48,-73.76,59.0,10.29
